specimen_id,species,form,color,texture,attachment,distribution
30221,Amanita multisquamosa,warts,brown white,membranous,adnate,common even
30222,Amanita multisquamosa,warts,white light brown,submembranous,easily removed,dense even
30223,Amanita multisquamosa,warts,white light brown,submembranous,easily removed,dense even
30224,Amanita multisquamosa,warts,white light brown,submembranous,easily removed,dense even
30225,Amanita populiphila,warts,light pink,hard membranous,adnate,sparse
30226,Amanita stranella,patches,white,submembranous,easily removed,sparse uneven
30227,Amanita stranella,patches,white,submembranous,easily removed,sparse uneven
30228,Amanita flavoconia,patches,white light yellow,pulverulent,easily removed,common uneven
30229,Amanita frostiana,patches,light yellow,pulverulent,easily removed,dense
30230,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30231,Amanita amerirubescens nom prov.,,,,,
30232,Amanita amerirubescens nom prov.,patches,white light brown,pulverulent,easily removed,sparse
30233,Amanita rhacopus,,,,,
30234,Amanita rhacopus,,,,,
30235,Amanita solaniolens,,,,,
30236,Amanita solaniolens,patches,light brown,submembranous,easily removed,sparse uneven
30237,Amanita confundens,,,,,
30238,Amanita flavorubens,warts,white yellow,,,sparse uneven
30239,Amanita virginiana,patches,white,membranous,easily removed,sparse
30240,Amanita bisporigera,,,,,
30242,Amanita frostiana,warts,white orange,pulverulent,easily removed,common
30243,Amanita aff. fulva,,,,,
30244,Amanita coryli,,,,,
30245,Amanita aff. fulva,,,,,
30246,Amanita brunnescens,warts,white brown,membranous,easily removed,dense center
30247,Amanita aff. griseoumbonata,patches,white,submembranous,easily removed,center
30248,Amanita brunnescens,patches,white brown,submembranous,easily removed,common uneven
30249,Amanita stranella,warts,white,membranous,easily removed,sparse
30250,Amanita coryli,,,,,
30251,Amanita coryli,,,,,
30252,Amanita amerirubescens nom prov.,warts,white,submembranous,adnate,dense rings
30253,Amanita brunnescens,patches,white light brown,submembranous,adnate,dense
30254,Amanita brunnescens,warts,brown white,submembranous,easily removed,dispersed margin
30255,Amanita aff. fulva,,,,,
30256,Amanita rhacopus,warts,dark grey,submembranous,easily removed,dense center
30257,Amanita confundens,,,,,
30258,Amanita brunnescens,patches,white,submembranous,easily removed,sparse margin
30259,Amanita brunnescens,patches,white light brown,pulverulent,easily removed,center
30260,Amanita solaniolens,patches,white light brown,pulverulent,easily removed,center
30261,Amanita frostiana,warts,yellow,pulverulent,easily removed,sparse uneven
30262,Amanita subnigra nom prov.,,,,,
30263,Amanita brunnescens,,,,,
30264,Amanita amerirubescens nom prov.,warts,brown white,pulverulent,easily removed,dense even
30265,Amanita brunnescens,patches,white,pulverulent,easily removed,sparse margin
30267,Amanita amerivirosa,,,,,
30268,Amanita jakeslandingensis nom prov.,,,,,
30269,Amanita amerivirosa,,,,,
30270,Amanita amerivirosa,,,,,
30271,Amanita brunnescens,powder,white,pulverulent,easily removed,sparse margin
30272,Amanita brunnescens,powder,white,pulverulent,easily removed,sparse margin
30273,Amanita bisporigera,,,,,
30274,Amanita sp. 'GWA-ami2',scales,white,membranous,easily removed,dense even
30275,Amanita bisporigera,,,,,
30276,Amanita sp. 'GWA-phal1',,,,,
30277,Amanita bisporigera,,,,,
30278,Amanita centrascura,,,,,
30279,Amanita suballiacea,,,,,
30280,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
30281,Amanita fusca,patches,cream,submembranous,easily removed,sparse
30282,Amanita fusca,,,,,
30283,Amanita flavorubens,warts,brown yellow,pulverulent,easily removed,dense even
30284,Amanita suballiacea,,,,,
30285,Amanita fusca,patches,white,membranous,adnate,sparse margin
30286,Amanita porphyria,powder,brown,pulverulent,easily removed,sparse uneven
30287,Amanita cf. lavendula,,,,,
30291,Amanita cf. lavendula,patches,brown,pulverulent,easily removed,sparse uneven
30293,Amanita porphyria,powder,brown  dingy white,pulverulent,easily removed,common uneven
40220,Amanita cf. lavendula,patches,white light brown,pulverulent,easily removed,dense center
30187_2,Amanita suballiacea,,,,,
30187_3,Amanita suballiacea,,,,,
30193_2,Amanita confundens,,,,,
30193_3,Amanita confundens,,,,,
30194_2,Amanita aff. fulva,,,,,
30199_2,Amanita bisporigera,,,,,
30199_3,Amanita bisporigera,,,,,
30199_4,Amanita bisporigera,,,,,
30204_2,Amanita amerivirosa,,,,,
30204_3,Amanita amerivirosa,,,,,
30204_4,Amanita amerivirosa,,,,,
30208_2,Amanita cf. lavendula,patches,dingy white,submembranous,easily removed,sparse
30223_2,Amanita multisquamosa,warts,white light brown,submembranous,easily removed,dense even
30223_3,Amanita multisquamosa,warts,white light brown,submembranous,easily removed,dense even
30224_2,Amanita multisquamosa,warts,white light brown,submembranous,easily removed,dense even
30226_2,Amanita stranella,patches,white,submembranous,easily removed,sparse uneven
30230_2,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30230_3,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30230_4,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30230_5,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30230_6,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30230_7,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30230_8,Amanita amerirubescens nom prov.,patches,light pink,pulverulent,easily removed,sparse uneven
30239_2,Amanita virginiana,patches,white,membranous,easily removed,sparse
30249_2,Amanita stranella,warts,white,membranous,easily removed,sparse
30250_2,Amanita coryli,,,,,
30257_2,Amanita confundens,,,,,
30274_2,Amanita sp. 'GWA-ami2',scales,white,membranous,easily removed,dense even
30280_2,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
30280_3,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
30280_4,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
30280_5,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
30280_6,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
30280_7,Amanita populiphila,warts,dingy white grey,membranous,adnate,dense center
