specimen_id,species,diameter_mm,centercolor,margincolor,shape,surfacetexture,umbonate,striationlength_mm,appendiculate,universalveilpresent,staining,contextcolor
30265,Amanita brunnescens,90, light brown, light brown,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30267,Amanita amerivirosa,95,white,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30268,Amanita jakeslandingensis nom prov.,60,brown ring,light brown,applanate,glaborous,umbonate,12,not appendiculate,universal veil absent,no staining,white
30269,Amanita amerivirosa,100,white,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30270,Amanita amerivirosa,70,white,white,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30271,Amanita brunnescens,70,light  light brown,light  light brown,convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30272,Amanita brunnescens,50,light brown, light brown white,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30273,Amanita bisporigera,70, light brown white yellow,white,applanate,glaborous,umbonate,0,not appendiculate,universal veil absent,no staining,white
30274,Amanita sp. 'GWA-ami2',70,light brown,light brown,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,light brown,white
30275,Amanita bisporigera,60,white,white,applanate,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30276,Amanita sp. 'GWA-phal1',50,light brown,white,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30277,Amanita bisporigera,30,light brown tinge,white,applanate,dry,umbonate,0,not appendiculate,universal veil absent,no staining,white
30278,Amanita centrascura,45,brown ring, light brown white,applanate,glaborous,not umbonate,7,not appendiculate,universal veil absent,no staining,white
30279,Amanita suballiacea,85,white,white,convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30280,Amanita populiphila,85,pink  light brown white,pink  light brown white,convex,glaborous,not umbonate,10,not appendiculate,universal veil absent,no staining,white
30281,Amanita fusca,40, light brown white ring, light brown white,convex,glaborous,not umbonate,5,not appendiculate,universal veil present,no staining,white
30282,Amanita fusca,35,brown,brown,applanate,dry,minutely umbonate,7,not appendiculate,universal veil absent,no staining,white
30283,Amanita flavorubens,65,brown,yellow,applanate,dry,not umbonate,0,not appendiculate,universal veil present,red brown,white
30284,Amanita suballiacea,75,light yellow pink tint,white,applanate,dry,minutely umbonate,0,not appendiculate,universal veil absent,no staining,white
30285,Amanita fusca,60,brown grey,brown grey,applanate,dry,not umbonate,5,not appendiculate,universal veil present,no staining,white
30286,Amanita porphyria,45,brown,brown,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30287,Amanita cf. lavendula,75,dingy yellow,light yellow,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil absent,lavender,white
30291,Amanita cf. lavendula,35,yellow,yellow tinge,applanate,viscid,not umbonate,0,not appendiculate,universal veil present,no staining,white
30293,Amanita porphyria,55,shiny brown,shiny brown,applanate,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
40220,Amanita cf. lavendula,68,light yellow,white,plano-convex,glaborous,not umbonate,0,not appendiculate,universal veil present,no staining,white
30187_2,Amanita suballiacea,69,light brown white,white,applanate,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30187_3,Amanita suballiacea,113,light brown white,white,applanate,dry,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30193_2,Amanita confundens,37,brown,light brown,plano-convex,dry,not umbonate,8,not appendiculate,universal veil absent,no staining,white
30193_3,Amanita confundens,35,brown,light brown,convex,dry,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30194_2,Amanita aff. fulva,28,light brown,light brown,convex,dry,not umbonate,4,not appendiculate,universal veil absent,no staining,white
30199_2,Amanita bisporigera,60, light brown white,white,applanate,majorly viscid,umbonate,8,not appendiculate,universal veil absent,no staining,white
30199_3,Amanita bisporigera,65,white,white,convex,majorly viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30199_4,Amanita bisporigera,50,white,white,campanulate,majorly viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30204_2,Amanita amerivirosa,63,light yellow,white,plano-convex,viscid,not umbonate,2,not appendiculate,universal veil absent,no staining,white
30204_3,Amanita amerivirosa,58,white,white,plano-convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30204_4,Amanita amerivirosa,45,white,white,convex,viscid,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30208_2,Amanita cf. lavendula,48,light yellow,light yellow,campanulate,smooth,not umbonate,0,not appendiculate,universal veil present,no staining,white
30223_2,Amanita multisquamosa,57,light brown,white,plano-concave,viscid,not umbonate,8,not appendiculate,universal veil present,no staining,white
30223_3,Amanita multisquamosa,60,light brown,white,plano-concave,silky,not umbonate,6,not appendiculate,universal veil present,no staining,white
30224_2,Amanita multisquamosa,63,light brown,white,plano-concave,majorly viscid,not umbonate,10,not appendiculate,universal veil present,no staining,white
30226_2,Amanita stranella,50,light yellow,white,applanate,glaborous,not umbonate,8,not appendiculate,universal veil present,no staining,white
30230_2,Amanita amerirubescens nom prov.,75,redd brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_3,Amanita amerirubescens nom prov.,85,redd brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_4,Amanita amerirubescens nom prov.,80,brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_5,Amanita amerirubescens nom prov.,82,light brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_6,Amanita amerirubescens nom prov.,132,red brown,light brown,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_7,Amanita amerirubescens nom prov.,34,yellow brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30230_8,Amanita amerirubescens nom prov.,45,brown, light brown white,convex,not observed,not umbonate,0,not appendiculate,universal veil present,red brown,white
30239_2,Amanita virginiana,20,grey brown,grey brown,plano-convex,not observed,not umbonate,3,not appendiculate,universal veil present,no staining,white
30249_2,Amanita stranella,40,dingy yellow, light brown white,applanate,viscid,not umbonate,5,not appendiculate,universal veil present,,white
30250_2,Amanita coryli,30,grey brown,light brown,convex,dry,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30257_2,Amanita confundens,50,white green tint,white,applanate,silky,not umbonate,0,not appendiculate,universal veil absent,no staining,white
30274_2,Amanita sp. 'GWA-ami2',,light brown,light brown,campanulate,glaborous,not umbonate,0,not appendiculate,universal veil present,light brown,white
30280_2,Amanita populiphila,70,light brown pink,light brown pink,convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30280_3,Amanita populiphila,40,light brown pink,light brown pink,plano-convex,glaborous,not umbonate,5,not appendiculate,universal veil absent,no staining,white
30280_4,Amanita populiphila,45,light brown pink,light brown pink,applanate,glaborous,not umbonate,12,not appendiculate,universal veil absent,no staining,white
30280_5,Amanita populiphila,40,light brown pink,light brown pink,applanate,glaborous,not umbonate,3,not appendiculate,universal veil absent,no staining,white
30280_6,Amanita populiphila,85,light brown pink,light brown pink,applanate,glaborous,not umbonate,20,not appendiculate,universal veil absent,no staining,white
30280_7,Amanita populiphila,90,light brown pink,light brown pink,campanulate,glaborous,not umbonate,15,not appendiculate,universal veil absent,no staining,white
